,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,862174.171,"[8616.251, 8703.228]",912855.394,"[886369.887, 940132.311]","[886369.887, 940132.311]","[886369.887, 940132.311]",852108.859,860652.829
beta/eta,41238.573,"[82.207, 82.372]",40773.234,"[40535.425, 41012.438]","[40535.425, 41012.438]","[40535.425, 41012.438]",41141.599,41253.045
xc^2/epsilon,495.737,"[4.157, 4.192]",520.054,"[507.375, 533.051]","[507.375, 533.051]","[507.375, 533.051]",503.858,495.004
xc,12.984,"[0.584, 0.611]",13.778,"[13.321, 14.25]","[13.321, 14.25]","[13.321, 14.25]",13.203,12.88
eta,1.55e-05,"[6.98e-08, 7.01e-08]",1.55e-05,"[1.5e-05, 1.6e-05]","[1.5e-05, 1.6e-05]","[1.5e-05, 1.6e-05]",1.55e-05,1.55e-05
beta,0.637,"[0.0026, 0.00261]",0.674,"[0.655, 0.693]","[0.655, 0.693]","[0.619, 0.693]",0.637,0.637
epsilon,0.368,"[0.00375, 0.00379]",0.368,"[0.343, 0.395]","[0.343, 0.395]","[0.297, 0.395]",0.346,0.368
sqrt(xc/eta),927.714,"[0.047, 0.047]",955.435,"[941.472, 969.604]","[941.472, 969.604]","[941.472, 969.604]",923.097,927.714
s= eta^0.5*xc^1.5/epsilon,0.551,"[3.43e-05, 3.43e-05]",0.572,"[0.561, 0.582]","[0.561, 0.582]","[0.561, 0.582]",0.546,0.551
beta*xc/epsilon,23.972,"[0.00172, 0.00172]",22.994,"[22.52, 23.478]","[22.52, 23.478]","[21.601, 23.478]",24.327,23.972
eta*xc/epsilon,0.000602,"[9.5e-10, 9.5e-10]",0.000578,"[0.000566, 0.00059]","[0.000566, 0.00059]","[0.000566, 0.00059]",0.000591,0.000602
Fx=beta^2/eta*xc,1998.085,"[0.00304, 0.00304]",1847.096,"[1775.936, 1921.108]","[1775.936, 1921.108]","[1775.936, 1921.108]",1986.403,1998.085
Dx =beta*epsilon/eta*xc^2,79.604,"[0.0, 0.0]",79.604,"[77.278, 82.001]","[77.278, 82.001]","[77.278, 82.001]",81.653,79.604
Pk=beta*k/epsilon,0.874,"[0.00839, 0.00847]",0.874,"[0.829, 0.922]","[0.829, 0.922]","[0.829, 0.922]",0.921,0.874
Fk=beta^2/eta*k,52071.841,"[407.617, 410.833]",52053.111,"[50581.854, 53567.161]","[50581.854, 53567.161]","[50581.854, 53567.161]",52454.504,52053.111
Dk =beta*epsilon/eta*k^2,70843.453,"[92.468, 92.589]",61952.282,"[57934.53, 66248.666]","[57934.53, 66248.666]","[57934.53, 75755.957]",56938.198,70843.003
Fk^2/Dk=beta^3/eta*epsilon,49530.172,"[51.759, 51.813]",39959.986,"[37871.599, 42163.534]","[37871.599, 42163.534]","[37871.599, 42163.534]",48323.887,49530.424
epsilon/beta^2,0.843,"[1.09e-06, 1.09e-06]",0.932,"[0.886, 0.979]","[0.886, 0.979]","[0.886, 1.082]",0.851,0.843
k/beta,0.77,"[0.0205, 0.0211]",0.785,"[0.763, 0.808]","[0.763, 0.808]","[0.763, 0.808]",0.784,0.785
k^2/epsilon,0.646,"[0.0422, 0.0451]",0.678,"[0.632, 0.728]","[0.632, 0.728]","[0.632, 0.839]",0.723,0.678
eta/xc,1.16e-06,"[9.45e-09, 9.53e-09]",1.1e-06,"[1.06e-06, 1.13e-06]","[1.06e-06, 1.13e-06]","[1.06e-06, 1.13e-06]",1.17e-06,1.16e-06
beta/xc,0.0488,"[0.000463, 0.000467]",0.0456,"[0.0441, 0.0472]","[0.0441, 0.0472]","[0.0412, 0.0472]",0.0483,0.0489
epsilon/xc^2,0.00202,"[1.38e-05, 1.39e-05]",0.00192,"[0.00188, 0.00197]","[0.00188, 0.00197]","[0.00188, 0.00197]",0.00198,0.00202
k/xc,0.0386,"[0.00142, 0.00147]",0.0363,"[0.0351, 0.0375]","[0.0351, 0.0375]","[0.0351, 0.0375]",0.0379,0.0388
best fit no ext hazard_MedianLifetime,27676.92,185.09000000000015,27676.92,"[27496.879999999997, 27862.01]","[27496.879999999997, 27862.01]","[27496.879999999997, 27862.01]",27676.92,
best fit no ext hazard_MaxLifetime,39892.99,0,39892.99,"[39892.99, 39892.99]","[39892.99, 39892.99]","[39892.99, 39892.99]",39892.99,
best fit_MedianLifetime,27636.76,185.11000000000058,27636.76,"[27456.71, 27821.87]","[27456.71, 27821.87]","[27456.71, 27821.87]",27636.76,
best fit_MaxLifetime,39957.24,0,39957.24,"[39957.24, 39957.24]","[39957.24, 39957.24]","[39957.24, 39957.24]",39957.24,
data_MedianLifetime,29017.5,183.97999999999956,29017.5,"[28835.78, 29201.48]","[28835.78, 29201.48]","[28835.78, 29201.48]",29017.5,
data_MaxLifetime,40150.0,0,40150.0,"[40150.0, 40150.0]","[40150.0, 40150.0]","[40150.0, 40150.0]",40150.0,
