,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,1675365.085,"[807125.116, 1557437.214]",770410.619,"[751506.51, 789790.26]","[586188.93, 2133498.343]","[586188.93, 3685204.602]",822595.533,770862.68
beta/eta,6454.684,"[1558.244, 2054.141]",8688.469,"[8534.09, 8845.64]","[6180.287, 8845.64]","[4475.691, 8845.64]",9380.918,8728.316
xc^2/epsilon,1952.824,"[1044.886, 2247.375]",796.699,"[774.619, 819.409]","[584.825, 2522.032]","[584.825, 4951.088]",900.784,800.107
xc,54.75,"[37.503, 119.057]",21.579,"[20.752, 22.439]","[16.415, 33.169]","[15.181, 273.661]",6.545,21.575
ExtH,4.096,"[0.068, 0.0691]",4.089,"[4.082, 4.095]","[4.032, 4.108]","[4.007, 4.237]",4.017,4.04
eta,8.22e-06,"[7.67e-08, 7.74e-08]",8.22e-06,"[7.92e-06, 8.54e-06]","[7.92e-06, 8.54e-06]","[7.92e-06, 8.54e-06]",7.96e-06,7.96e-06
beta,0.0725,"[0.000539, 0.000543]",0.0725,"[0.0703, 0.0747]","[0.0703, 0.0747]","[0.0703, 0.0747]",0.0746,0.0746
epsilon,0.0456,"[0.00108, 0.00111]",0.0456,"[0.0421, 0.0493]","[0.0421, 0.0493]","[0.0421, 0.0493]",0.0476,0.0476
sqrt(xc/eta),1270.785,"[342.438, 468.752]",877.73,"[866.895, 888.701]","[765.63, 1139.334]","[765.63, 1919.689]",906.971,877.988
s= eta^0.5*xc^1.5/epsilon,1.468,"[0.506, 0.771]",0.911,"[0.896, 0.925]","[0.766, 1.308]","[0.766, 2.616]",0.993,0.911
beta*xc/epsilon,7.704,"[1.12, 1.31]",9.188,"[9.056, 9.323]","[7.389, 9.598]","[6.207, 9.598]",10.273,9.059
eta*xc/epsilon,0.00109,"[9.62e-07, 9.63e-07]",0.00109,"[0.00108, 0.0011]","[0.00108, 0.0011]","[0.00108, 0.0011]",0.0011,0.0011
Fx=beta^2/eta*xc,112.557,"[1.304, 1.319]",112.564,"[105.963, 119.576]","[105.963, 119.576]","[105.963, 119.576]",106.98,106.98
Dx =beta*epsilon/eta*xc^2,10.63,"[0.0997, 0.101]",10.63,"[10.153, 11.13]","[10.153, 11.13]","[10.153, 11.13]",10.414,10.414
Pk=beta*k/epsilon,0.0631,"[0.0454, 0.162]",0.203,"[0.193, 0.213]","[0.116, 0.236]","[0.0111, 0.289]",0.785,0.21
Fk=beta^2/eta*k,2804.46,"[1129.666, 1891.636]",4257.222,"[4105.79, 4414.238]","[3072.988, 6817.256]","[1114.642, 10528.425]",1400.341,4264.37
Dk =beta*epsilon/eta*k^2,43650.242,"[33121.738, 137319.775]",21309.367,"[19846.786, 22879.73]","[8455.238, 222649.868]","[4152.621, 295899.263]",1784.363,20310.663
Fk^2/Dk=beta^3/eta*epsilon,173.366,"[128.025, 489.524]",833.0,"[772.844, 897.837]","[127.886, 1635.388]","[33.18, 1635.388]",1098.966,895.335
epsilon/beta^2,32.707,"[21.495, 62.703]",9.321,"[8.804, 9.869]","[7.006, 34.661]","[7.006, 136.459]",8.536,9.749
k/beta,2.333,"[0.914, 1.502]",2.034,"[1.973, 2.097]","[1.368, 2.677]","[1.008, 5.567]",6.699,2.047
k^2/epsilon,0.168,"[0.133, 0.651]",0.445,"[0.412, 0.482]","[0.0209, 0.659]","[0.0153, 1.055]",5.257,0.43
eta/xc,5.97e-07,"[2.88e-07, 5.55e-07]",1.3e-06,"[1.27e-06, 1.33e-06]","[4.69e-07, 1.71e-06]","[2.71e-07, 1.71e-06]",1.22e-06,1.3e-06
beta/xc,0.0039,"[0.00233, 0.0058]",0.0113,"[0.0108, 0.0118]","[0.00277, 0.014]","[0.00129, 0.014]",0.0114,0.0113
epsilon/xc^2,0.000512,"[0.000274, 0.000589]",0.00126,"[0.00122, 0.00129]","[0.000397, 0.00171]","[0.000202, 0.00171]",0.00111,0.00125
k/xc,0.00925,"[0.00636, 0.0203]",0.0232,"[0.0223, 0.0241]","[0.0163, 0.0304]","[0.00183, 0.0329]",0.0764,0.0232
best fit no ext hazard_MedianLifetime,4762.38,184.94999999999982,4762.38,"[4582.49, 4947.33]","[4582.49, 4947.33]","[4582.49, 4947.33]",4762.38,
best fit no ext hazard_MaxLifetime,9055.64,0,9055.64,"[9055.64, 9055.64]","[9055.64, 9055.64]","[9055.64, 9055.64]",9055.64,
best fit_MedianLifetime,4276.83,185.0600000000004,4276.83,"[4096.83, 4461.89]","[4096.83, 4461.89]","[4096.83, 4461.89]",4276.83,
best fit_MaxLifetime,9125.0,0,9125.0,"[9125.0, 9125.0]","[9125.0, 9125.0]","[9125.0, 9125.0]",9125.0,
data_MedianLifetime,4380.0,185.1899999999996,4380.0,"[4199.87, 4565.19]","[4199.87, 4565.19]","[4199.87, 4565.19]",4380.0,
data_MaxLifetime,6205.0,0,6205.0,"[6205.0, 6205.0]","[6205.0, 6205.0]","[6205.0, 6205.0]",6205.0,
ML_lnprob,-60558.09142866669,"[-60558.09142866669, -60558.09142866669]",-60558.09142866669,"[-60558.09142866669, -60558.09142866669]","[-60558.09142866669, -60558.09142866669]","[-60558.09142866669, -60558.09142866669]",-60558.09142866669,-60558.09142866669
