,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,337364.825,"[15199.331, 15916.415]",335915.11,"[330730.038, 341181.471]","[330730.038, 341181.471]","[330730.038, 341181.471]",553629.316,335189.193
beta/eta,68928.611,"[981.584, 995.764]",68836.318,"[68246.566, 69431.165]","[68246.566, 69431.165]","[68246.566, 69431.165]",80722.74,68668.499
xc^2/epsilon,150.597,"[7.422, 7.807]",149.888,"[147.501, 152.313]","[147.501, 152.313]","[147.501, 152.313]",254.82,148.085
xc,2.743,"[0.168, 0.179]",2.759,"[2.682, 2.838]","[2.682, 2.838]","[2.682, 2.838]",1.364,2.732
ExtH,6.983,"[0.00527, 0.00527]",6.983,"[6.978, 6.989]","[6.978, 6.989]","[6.978, 6.989]",6.93,6.979
eta,8.19e-06,"[8.57e-07, 9.58e-07]",8.27e-06,"[8.04e-06, 8.51e-06]","[8.04e-06, 8.51e-06]","[8.04e-06, 8.51e-06]",2.46e-06,8.15e-06
beta,0.558,"[0.0512, 0.0564]",0.563,"[0.551, 0.575]","[0.551, 0.575]","[0.551, 0.575]",0.199,0.56
epsilon,0.0519,"[0.00855, 0.0102]",0.0528,"[0.05, 0.0557]","[0.05, 0.0557]","[0.05, 0.0557]",0.0073,0.0504
sqrt(xc/eta),579.582,"[0.0491, 0.0491]",579.582,"[575.091, 584.107]","[575.091, 584.107]","[575.091, 584.107]",744.063,578.955
s= eta^0.5*xc^1.5/epsilon,0.258,"[2.59e-05, 2.59e-05]",0.258,"[0.255, 0.26]","[0.255, 0.26]","[0.255, 0.26]",0.342,0.256
beta*xc/epsilon,30.232,"[0.00215, 0.00215]",30.232,"[29.84, 30.629]","[29.84, 30.629]","[29.84, 30.629]",37.154,30.337
eta*xc/epsilon,0.000458,"[4.01e-09, 4.01e-09]",0.000458,"[0.000454, 0.000461]","[0.000454, 0.000461]","[0.000454, 0.000461]",0.00046,0.00046
Fx=beta^2/eta*xc,11562.621,"[0.704, 0.704]",11562.621,"[11252.245, 11881.558]","[11252.245, 11881.558]","[11252.245, 11881.558]",11769.898,11769.898
Dx =beta*epsilon/eta*xc^2,320.135,"[0.0314, 0.0314]",320.135,"[313.198, 327.225]","[313.198, 327.225]","[313.198, 327.225]",316.783,316.783
Pk=beta*k/epsilon,5.387,"[0.462, 0.505]",5.342,"[5.131, 5.562]","[5.131, 5.562]","[5.131, 5.562]",13.62,5.552
Fk=beta^2/eta*k,76538.365,"[5927.877, 6425.533]",77116.92,"[75731.007, 78528.196]","[75731.007, 78528.196]","[75731.007, 78528.196]",32107.437,76866.925
Dk =beta*epsilon/eta*k^2,13497.074,"[1989.906, 2334.015]",13699.687,"[13059.686, 14371.053]","[13059.686, 14371.053]","[13059.686, 14371.053]",2357.371,13844.442
Fk^2/Dk=beta^3/eta*epsilon,419439.782,"[2995.248, 3016.791]",419159.068,"[403250.012, 435695.769]","[403250.012, 435695.769]","[403250.012, 435695.769]",437303.967,426779.512
epsilon/beta^2,0.162,"[0.00191, 0.00194]",0.162,"[0.156, 0.167]","[0.156, 0.167]","[0.156, 0.167]",0.185,0.161
k/beta,0.896,"[0.0823, 0.0906]",0.888,"[0.87, 0.907]","[0.87, 0.907]","[0.87, 0.907]",2.514,0.893
k^2/epsilon,4.807,"[0.792, 0.948]",4.727,"[4.478, 4.989]","[4.478, 4.989]","[4.478, 4.989]",34.243,4.96
eta/xc,2.96e-06,"[1.34e-07, 1.4e-07]",2.98e-06,"[2.93e-06, 3.02e-06]","[2.93e-06, 3.02e-06]","[2.93e-06, 3.02e-06]",1.81e-06,2.98e-06
beta/xc,0.203,"[0.0061, 0.00629]",0.203,"[0.199, 0.207]","[0.199, 0.207]","[0.199, 0.207]",0.146,0.205
epsilon/xc^2,0.00664,"[0.000327, 0.000344]",0.00667,"[0.00657, 0.00678]","[0.00657, 0.00678]","[0.00657, 0.00678]",0.00392,0.00675
k/xc,0.182,"[0.0111, 0.0119]",0.181,"[0.176, 0.186]","[0.176, 0.186]","[0.176, 0.186]",0.367,0.183
best fit no ext hazard_MedianLifetime,30182.78,185.02000000000044,30182.78,"[30002.82, 30367.8]","[30002.82, 30367.8]","[30002.82, 30367.8]",30182.78,
best fit no ext hazard_MaxLifetime,40150.0,0,40150.0,"[40150.0, 40150.0]","[40150.0, 40150.0]","[40150.0, 40150.0]",40150.0,
best fit_MedianLifetime,29797.26,184.84000000000015,29797.26,"[29617.48, 29982.1]","[29617.48, 29982.1]","[29617.48, 29982.1]",29797.26,
best fit_MaxLifetime,39804.64,0,39804.64,"[39804.64, 39804.64]","[39804.64, 39804.64]","[39804.64, 39804.64]",39804.64,
data_MedianLifetime,29017.5,183.97999999999956,29017.5,"[28835.78, 29201.48]","[28835.78, 29201.48]","[28835.78, 29201.48]",29017.5,
data_MaxLifetime,40150.0,0,40150.0,"[40150.0, 40150.0]","[40150.0, 40150.0]","[40150.0, 40150.0]",40150.0,
ML_lnprob,-385019.4183674486,"[-385019.4183674486, -385019.4183674486]",-385019.4183674486,"[-385019.4183674486, -385019.4183674486]","[-385019.4183674486, -385019.4183674486]","[-385019.4183674486, -385019.4183674486]",-385019.4183674486,-385019.4183674486
