,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,6.254,"[2.27e-10, 2.27e-10]",6.254,"[6.08, 6.433]","[6.08, 6.433]","[6.08, 6.433]",6.396,6.396
beta/eta,113.183,"[5e-08, 5e-08]",113.183,"[112.561, 113.808]","[112.561, 113.808]","[112.561, 113.808]",112.717,112.717
xc^2/epsilon,1.386,"[2.23e-09, 2.23e-09]",1.386,"[1.358, 1.414]","[1.358, 1.414]","[1.358, 1.414]",1.38,1.38
xc,12.88,"[3.49e-08, 3.49e-08]",12.88,"[12.453, 13.321]","[12.453, 13.321]","[12.453, 13.321]",13.203,13.203
ExtH,7.477,"[9.82e-10, 9.82e-10]",7.477,"[7.471, 7.483]","[7.471, 7.483]","[7.471, 7.483]",7.479,7.479
eta,2.107,"[0.000147, 0.000147]",2.107,"[2.042, 2.173]","[2.042, 2.173]","[2.042, 2.173]",2.064,2.064
beta,233.692,"[0.0224, 0.0224]",233.692,"[227.139, 240.435]","[227.139, 240.435]","[227.139, 240.435]",232.683,232.683
epsilon,135.151,"[0.0323, 0.0323]",135.151,"[125.875, 145.11]","[125.875, 145.11]","[125.875, 145.11]",126.286,126.286
sqrt(xc/eta),2.501,"[5.82e-11, 5.82e-11]",2.501,"[2.466, 2.536]","[2.466, 2.536]","[2.466, 2.536]",2.529,2.529
s= eta^0.5*xc^1.5/epsilon,0.551,"[7.34e-10, 7.34e-10]",0.551,"[0.542, 0.56]","[0.542, 0.56]","[0.542, 0.56]",0.546,0.546
beta*xc/epsilon,24.771,"[3.88e-08, 3.88e-08]",24.771,"[24.292, 25.26]","[24.292, 25.26]","[24.292, 25.26]",24.327,24.327
eta*xc/epsilon,0.216,"[7.53e-06, 7.53e-06]",0.216,"[0.213, 0.22]","[0.213, 0.22]","[0.213, 0.22]",0.216,0.216
Fx=beta^2/eta*xc,1963.936,"[0.0791, 0.0791]",1963.936,"[1894.58, 2035.83]","[1894.58, 2035.83]","[1894.58, 2035.83]",1986.403,1986.403
Dx =beta*epsilon/eta*xc^2,81.953,"[0.00217, 0.00217]",81.953,"[80.043, 83.908]","[80.043, 83.908]","[80.043, 83.908]",81.653,81.653
Pk=beta*k/epsilon,0.874,"[1.62e-06, 1.62e-06]",0.874,"[0.829, 0.922]","[0.829, 0.922]","[0.829, 0.922]",0.921,0.921
Fk=beta^2/eta*k,51983.007,"[0.415, 0.415]",51983.006,"[50592.448, 53411.786]","[50592.448, 53411.786]","[50592.448, 53411.786]",52454.504,52454.504
Dk =beta*epsilon/eta*k^2,54177.338,"[1.052, 1.052]",54177.338,"[50663.809, 57934.53]","[50663.809, 57934.53]","[50663.809, 57934.53]",56938.198,56938.198
Fk^2/Dk=beta^3/eta*epsilon,47436.977,"[0.00368, 0.00368]",47436.977,"[45027.655, 49975.216]","[45027.655, 49975.216]","[45027.655, 49975.216]",48323.887,48323.887
epsilon/beta^2,0.00223,"[1.33e-10, 1.33e-10]",0.00223,"[0.00212, 0.00234]","[0.00212, 0.00234]","[0.00212, 0.00234]",0.00233,0.00233
k/beta,0.00214,"[1.13e-10, 1.13e-10]",0.00214,"[0.00208, 0.0022]","[0.00208, 0.0022]","[0.00208, 0.0022]",0.00215,0.00215
k^2/epsilon,0.00185,"[2.45e-10, 2.45e-10]",0.00185,"[0.00172, 0.00198]","[0.00172, 0.00198]","[0.00172, 0.00198]",0.00198,0.00198
eta/xc,0.16,"[9.92e-14, 9.92e-14]",0.16,"[0.155, 0.164]","[0.155, 0.164]","[0.155, 0.164]",0.156,0.156
beta/xc,17.88,"[1.26e-11, 1.26e-11]",17.88,"[17.316, 18.463]","[17.316, 18.463]","[17.316, 18.463]",17.623,17.623
epsilon/xc^2,0.722,"[1.16e-09, 1.16e-09]",0.722,"[0.707, 0.736]","[0.707, 0.736]","[0.707, 0.736]",0.724,0.724
k/xc,0.0388,"[1.05e-10, 1.05e-10]",0.0388,"[0.0375, 0.0401]","[0.0375, 0.0401]","[0.0375, 0.0401]",0.0379,0.0379
best fit no ext hazard_MedianLifetime,76.4,0.5100000000000051,76.4,"[75.91000000000001, 76.91000000000001]","[75.91000000000001, 76.91000000000001]","[75.91000000000001, 76.91000000000001]",76.4,
best fit no ext hazard_MaxLifetime,110.0,0,110.0,"[110.0, 110.0]","[110.0, 110.0]","[110.0, 110.0]",110.0,
best fit_MedianLifetime,75.92,0.5100000000000051,75.92,"[75.43, 76.43]","[75.43, 76.43]","[75.43, 76.43]",75.92,
best fit_MaxLifetime,108.44,0,108.44,"[108.44, 108.44]","[108.44, 108.44]","[108.44, 108.44]",108.44,
data_MedianLifetime,70.0,0.5,70.0,"[69.51, 70.5]","[69.51, 70.5]","[69.51, 70.5]",70.0,
data_MaxLifetime,108.5,0,108.5,"[108.5, 108.5]","[108.5, 108.5]","[108.5, 108.5]",108.5,
ML_lnprob,-346955.23771160276,"[-346955.23771160276, -346955.23771160276]",-346955.23771160276,"[-346955.23771160276, -346955.23771160276]","[-346955.23771160276, -346955.23771160276]","[-346955.23771160276, -346955.23771160276]",-346955.23771160276,-346955.23771160276
