,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,4.862,"[0.000861, 0.000862]",4.862,"[4.749, 4.976]","[4.749, 4.976]","[4.749, 4.976]",4.975,4.975
beta/eta,152.864,"[0.00504, 0.00504]",152.864,"[150.665, 155.094]","[150.665, 155.094]","[150.665, 155.094]",152.598,152.598
xc^2/epsilon,0.621,"[0.000109, 0.000109]",0.621,"[0.605, 0.637]","[0.605, 0.637]","[0.605, 0.637]",0.607,0.607
xc,9.597,"[0.0018, 0.0018]",9.597,"[9.247, 9.96]","[9.247, 9.96]","[9.247, 9.96]",9.473,9.473
ExtH,8.212,"[1.53e-05, 1.53e-05]",8.212,"[8.205, 8.218]","[8.205, 8.218]","[8.205, 8.218]",8.208,8.208
eta,1.884,"[3.62e-05, 3.62e-05]",1.884,"[1.814, 1.957]","[1.814, 1.957]","[1.814, 1.957]",1.904,1.904
beta,288.56,"[0.00494, 0.00494]",288.56,"[278.954, 298.498]","[278.954, 298.498]","[278.954, 298.498]",290.54,290.54
epsilon,140.377,"[0.027, 0.027]",140.377,"[130.097, 151.469]","[130.097, 151.469]","[130.097, 151.469]",147.803,147.803
sqrt(xc/eta),2.205,"[0.000195, 0.000195]",2.205,"[2.179, 2.231]","[2.179, 2.231]","[2.179, 2.231]",2.231,2.231
s= eta^0.5*xc^1.5/epsilon,0.271,"[2.59e-05, 2.59e-05]",0.271,"[0.267, 0.276]","[0.267, 0.276]","[0.267, 0.276]",0.272,0.272
beta*xc/epsilon,18.431,"[0.000442, 0.000442]",18.431,"[18.183, 18.682]","[18.183, 18.682]","[18.183, 18.682]",18.621,18.621
eta*xc/epsilon,0.122,"[1.18e-08, 1.18e-08]",0.122,"[0.121, 0.123]","[0.121, 0.123]","[0.121, 0.123]",0.122,0.122
Fx=beta^2/eta*xc,4588.093,"[0.01, 0.01]",4588.093,"[4382.395, 4803.446]","[4382.395, 4803.446]","[4382.395, 4803.446]",4680.275,4680.275
Dx =beta*epsilon/eta*xc^2,250.745,"[0.000472, 0.000472]",250.745,"[241.755, 260.07]","[241.755, 260.07]","[241.755, 260.07]",251.343,251.343
Pk=beta*k/epsilon,1.018,"[0.000219, 0.000219]",1.018,"[0.968, 1.07]","[0.968, 1.07]","[0.968, 1.07]",0.983,0.983
Fk=beta^2/eta*k,90913.115,"[5.355, 5.355]",90913.116,"[87938.461, 93988.392]","[87938.461, 93988.392]","[87938.461, 93988.392]",88671.272,88671.272
Dk =beta*epsilon/eta*k^2,93420.731,"[15.247, 15.249]",93420.729,"[86957.043, 100364.873]","[86957.043, 100364.873]","[86957.043, 100364.873]",90217.239,90217.239
Fk^2/Dk=beta^3/eta*epsilon,84499.673,"[22.29, 22.296]",84499.676,"[79742.525, 89540.62]","[79742.525, 89540.62]","[79742.525, 89540.62]",87151.796,87151.796
epsilon/beta^2,0.00176,"[4.12e-07, 4.12e-07]",0.00176,"[0.00168, 0.00184]","[0.00168, 0.00184]","[0.00168, 0.00184]",0.00175,0.00175
k/beta,0.00173,"[2.97e-08, 2.97e-08]",0.00173,"[0.00167, 0.00179]","[0.00167, 0.00179]","[0.00167, 0.00179]",0.00172,0.00172
k^2/epsilon,0.00178,"[3.42e-07, 3.42e-07]",0.00178,"[0.00165, 0.00192]","[0.00165, 0.00192]","[0.00165, 0.00192]",0.00169,0.00169
eta/xc,0.206,"[3.64e-05, 3.65e-05]",0.206,"[0.201, 0.211]","[0.201, 0.211]","[0.201, 0.211]",0.201,0.201
beta/xc,31.435,"[0.00658, 0.00658]",31.435,"[30.451, 32.452]","[30.451, 32.452]","[30.451, 32.452]",30.671,30.671
epsilon/xc^2,1.61,"[0.000282, 0.000282]",1.61,"[1.569, 1.652]","[1.569, 1.652]","[1.569, 1.652]",1.647,1.647
k/xc,0.0521,"[9.78e-06, 9.78e-06]",0.0521,"[0.0502, 0.054]","[0.0502, 0.054]","[0.0502, 0.054]",0.0528,0.0528
best fit no ext hazard_MedianLifetime,73.38,0.5100000000000051,73.38,"[72.89, 73.89]","[72.89, 73.89]","[72.89, 73.89]",73.38,
best fit no ext hazard_MaxLifetime,106.28,0,106.28,"[106.28, 106.28]","[106.28, 106.28]","[106.28, 106.28]",106.28,
best fit_MedianLifetime,73.03,0.5100000000000051,73.03,"[72.54, 73.54]","[72.54, 73.54]","[72.54, 73.54]",73.03,
best fit_MaxLifetime,105.49,0,105.49,"[105.49, 105.49]","[105.49, 105.49]","[105.49, 105.49]",105.49,
data_MedianLifetime,69.0,0.5,69.0,"[68.51, 69.5]","[68.51, 69.5]","[68.51, 69.5]",69.0,
data_MaxLifetime,103.5,0,103.5,"[103.5, 103.5]","[103.5, 103.5]","[103.5, 103.5]",103.5,
ML_lnprob,-356549.77931334125,"[-356549.77931334125, -356549.77931334125]",-356549.77931334125,"[-356549.77931334125, -356549.77931334125]","[-356549.77931334125, -356549.77931334125]","[-356549.77931334125, -356549.77931334125]",-356549.77931334125,-356549.77931334125
