,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,3.019,"[2.68e-05, 2.68e-05]",3.019,"[2.953, 3.086]","[2.953, 3.086]","[2.953, 3.086]",2.701,2.98
beta/eta,118.128,"[0.00011, 0.00011]",118.128,"[117.576, 118.682]","[117.576, 118.682]","[117.576, 118.682]",116.724,118.134
xc^2/epsilon,0.967,"[3.65e-06, 3.65e-06]",0.967,"[0.949, 0.986]","[0.949, 0.986]","[0.949, 0.986]",0.945,0.955
xc,6.523,"[4.85e-06, 4.85e-06]",6.523,"[6.338, 6.714]","[6.338, 6.714]","[6.338, 6.714]",6.326,6.598
ExtH,7.204,"[3.34e-11, 3.34e-11]",7.204,"[7.198, 7.209]","[7.198, 7.209]","[7.198, 7.209]",7.206,7.201
eta,2.315,"[8.22e-14, 8.22e-14]",2.315,"[2.26, 2.371]","[2.26, 2.371]","[2.26, 2.371]",2.342,2.342
beta,275.803,"[8.53e-12, 8.58e-12]",275.803,"[270.076, 281.652]","[270.076, 281.652]","[270.076, 281.652]",273.406,273.406
epsilon,44.486,"[0.0, 0.0]",44.486,"[42.036, 47.079]","[42.036, 47.079]","[42.036, 47.079]",42.33,42.33
sqrt(xc/eta),1.676,"[0.0284, 0.0289]",1.662,"[1.644, 1.681]","[1.644, 1.681]","[1.608, 1.757]",1.643,1.675
s= eta^0.5*xc^1.5/epsilon,0.559,"[0.00722, 0.00731]",0.563,"[0.553, 0.572]","[0.553, 0.572]","[0.535, 0.572]",0.575,0.566
beta*xc/epsilon,39.313,"[0.6, 0.61]",39.598,"[38.816, 40.396]","[38.816, 40.396]","[37.299, 40.396]",40.86,39.648
eta*xc/epsilon,0.336,"[0.00524, 0.00533]",0.338,"[0.331, 0.344]","[0.331, 0.344]","[0.319, 0.344]",0.35,0.338
Fx=beta^2/eta*xc,4916.645,"[105.357, 107.664]",4966.616,"[4828.24, 5108.957]","[4828.24, 5108.957]","[4562.946, 5108.957]",5044.572,4899.297
Dx =beta*epsilon/eta*xc^2,124.173,"[0.000218, 0.000218]",124.173,"[121.478, 126.928]","[121.478, 126.928]","[121.478, 126.928]",123.46,123.569
Pk=beta*k/epsilon,3.163,"[2.03e-13, 2.03e-13]",3.163,"[3.028, 3.303]","[3.028, 3.303]","[3.028, 3.303]",3.229,3.229
Fk=beta^2/eta*k,65167.097,"[1.96e-09, 1.97e-09]",65167.097,"[63819.92, 66542.712]","[63819.92, 66542.712]","[63819.92, 66542.712]",63826.067,63826.067
Dk =beta*epsilon/eta*k^2,18780.419,"[0.0, 0.0]",18780.419,"[17804.712, 19809.594]","[17804.712, 19809.594]","[17804.712, 19809.594]",19763.934,19763.934
Fk^2/Dk=beta^3/eta*epsilon,197542.77,"[0.0, 0.0]",197542.77,"[188712.904, 206785.786]","[188712.904, 206785.786]","[188712.904, 206785.786]",206121.251,206121.251
epsilon/beta^2,0.000555,"[7.06e-17, 7.06e-17]",0.000555,"[0.000532, 0.00058]","[0.000532, 0.00058]","[0.000532, 0.00058]",0.000566,0.000566
k/beta,0.00181,"[5.62e-17, 5.64e-17]",0.00181,"[0.00177, 0.00185]","[0.00177, 0.00185]","[0.00177, 0.00185]",0.00183,0.00183
k^2/epsilon,0.00561,"[0.0, 0.0]",0.00561,"[0.0053, 0.00594]","[0.0053, 0.00594]","[0.0053, 0.00594]",0.00591,0.00591
eta/xc,0.378,"[3.71e-14, 3.71e-14]",0.378,"[0.37, 0.387]","[0.37, 0.387]","[0.37, 0.387]",0.37,0.37
beta/xc,42.296,"[1.54e-12, 1.54e-12]",42.296,"[41.27, 43.347]","[41.27, 43.347]","[41.27, 43.347]",43.218,43.218
epsilon/xc^2,1.074,"[3e-14, 3.02e-14]",1.074,"[1.053, 1.094]","[1.053, 1.094]","[1.053, 1.094]",1.058,1.058
k/xc,0.0811,"[3.41e-15, 3.43e-15]",0.0811,"[0.0788, 0.0835]","[0.0788, 0.0835]","[0.0788, 0.0835]",0.079,0.079
best fit no ext hazard_MedianLifetime,82.23,0.5100000000000051,82.23,"[81.74000000000001, 82.74000000000001]","[81.74000000000001, 82.74000000000001]","[81.74000000000001, 82.74000000000001]",82.23,
best fit no ext hazard_MaxLifetime,106.9,0,106.9,"[106.9, 106.9]","[106.9, 106.9]","[106.9, 106.9]",106.9,
best fit_MedianLifetime,81.31,0.5100000000000051,81.31,"[80.82000000000001, 81.82000000000001]","[80.82000000000001, 81.82000000000001]","[80.82000000000001, 81.82000000000001]",81.31,
best fit_MaxLifetime,106.24,0,106.24,"[106.24, 106.24]","[106.24, 106.24]","[106.24, 106.24]",106.24,
data_MedianLifetime,79.5,0.5,79.5,"[79.0, 80.0]","[79.0, 80.0]","[79.0, 80.0]",79.5,
data_MaxLifetime,110.0,0,110.0,"[110.0, 110.0]","[110.0, 110.0]","[110.0, 110.0]",110.0,
ML_lnprob,-384645.7519822385,"[-384645.7519822385, -384645.7519822385]",-384645.7519822385,"[-384645.7519822385, -384645.7519822385]","[-384645.7519822385, -384645.7519822385]","[-384645.7519822385, -384645.7519822385]",-384645.7519822385,-384645.7519822385
